postcode,easting,northing
CF111UH,317180,174761
CF111UJ,317180,174761
CF111UL,317180,174761
CF111UN,317180,174761
CF111UP,317180,174761
CF111UQ,317180,174761
CF111UR,317180,174761
CF111US,317180,174761
CF111UT,317180,174761
CF111UU,317180,174761
CF111UW,317180,174761
CF111UX,317180,174761
CF111UY,317180,174761
CF111YB,319284,175190
CF111YH,319284,175190
CF111YL,319284,175190
CF111YN,319284,175190
CF111YP,319284,175190
CF111YQ,319284,175190
CF111YR,319284,175190
CF111YS,319284,175190
CF111YT,319284,175190
CF111YU,319284,175190
CF111YW,319284,175190
CF111YX,319284,175190
CF111YY,319284,175190
CF111YZ,319284,175190
CF111ZA,319284,175190
CF111ZB,319284,175190
CF111ZD,319284,175190
CF111ZF,319284,175190
CF111ZG,319284,175190
CF111ZH,319284,175190
CF111ZJ,319284,175190
CF111ZL,319284,175190
CF111ZN,319284,175190
CF111ZP,319284,175190
CF111ZQ,319284,175190
CF111ZR,319284,175190
CF111ZS,319284,175190
CF111ZU,319284,175190
CF111ZW,319284,175190
CF111ZX,319284,175190
CF111ZY,319284,175190
CF116AA,317601,175957
CF116AB,317861,175903
CF116AD,317676,175946
CF116AE,317543,175970
CF116AF,317834,175946
CF116AG,317670,176219
CF116AH,317743,175968
CF116AJ,317656,175988
CF116AL,317554,176007
CF116AN,317821,176042
CF116AP,317774,176042
CF116AQ,317702,176167
CF116AR,317862,175944
CF116AS,317738,176045
CF116AT,317733,176165
CF116AU,317745,176131
CF116AW,317694,176048
CF116AX,317666,176143
CF116AY,317611,176133
CF116AZ,317697,175908
CF116BB,317612,176049
CF116BD,317560,176084
CF116BF,317780,175924
CF116BG,316760,176454
CF116BH,317728,175818
CF116BJ,316913,176458
CF116BY,317552,176383
CF116DA,317703,175736
CF116DB,316887,176289
CF116DD,317586,175849
CF116DL,317689,175781
CF116DP,317039,176318
CF116DQ,317260,176233
CF116DR,317182,176259
CF116DS,317096,176326
CF116DT,316944,176249
CF116DU,316936,176274
CF116DW,317024,176285
CF116DX,317024,176216
CF116DY,317085,176142
CF116DZ,316957,176203
CF116EA,316948,176225
CF116EB,317163,176145
CF116ED,317121,176265
CF116EE,317160,176097
CF116EF,317202,176115
CF116EG,317102,176172
CF116EH,317265,176103
CF116EJ,317523,176072
CF116EL,317489,176085
CF116EN,317520,176153
CF116EP,317483,176196
CF116EQ,317388,176197
CF116ER,317375,176168
CF116ES,317404,176057
CF116ET,317319,176080
CF116EU,317407,176105
CF116EW,317268,176152
CF116EX,317402,176079
CF116EY,317173,176225
CF116EZ,317069,176250
CF116FA,317199,176074
CF116FR,317655,175162
CF116FS,317565,175080
CF116FW,316867,176407
CF116FX,317162,176353
CF116FY,317105,176378
CF116FZ,316820,176426
CF116HA,317289,176016
CF116HE,316899,176065
CF116HN,316646,176142
CF116HP,316603,176160
CF116HQ,316630,176170
CF116HR,316588,176120
CF116HS,316716,176169
CF116HT,316732,176171
CF116HU,316972,176121
CF116HW,317444,175990
CF116HX,317175,176028
CF116HY,317018,176053
CF116HZ,317468,176016
CF116JA,317373,176032
CF116JB,317261,176048
CF116JD,317162,176060
CF116JE,317018,176084
CF116JF,316816,176123
CF116JG,316714,176124
CF116JH,316960,176179
CF116JJ,316828,176207
CF116JL,317257,176013
CF116JN,317003,176127
CF116JP,316874,176176
CF116JQ,316902,176186
CF116JR,317098,174927
CF116JT,317920,175416
CF116JU,317834,175331
CF116JW,317749,175255
CF116JX,317278,176368
CF116JY,317239,176311
CF116JZ,317212,176330
CF116LA,317239,176334
CF116LB,317367,176261
CF116LD,317388,176288
CF116LE,317288,176280
CF116LF,317481,176399
CF116LG,317620,176308
